Vendor Name,Product Name,Policy Link,Login Method,Library can see PII,Data kept by vendor,Last Updated
Gale,World History in Context,https://www.gale.com/privacy,"proxy server, library card number & PIN",no,"Total sessions, average session time, avergae connection time, total searches, retrievals & turn-aways.",7/3/19
Webucator,Webucator,https://www.webucator.com/about-us/privacy-policy.cfm,"first name, last name, address, email & password",no,"Patrons register on their site and recieve a ""voucher"" for use",7/3/19
BeanStack,Beanstack,https://www.beanstack.com/privacy,"First name, last name, user name, phone number, password, branch, age (email optional)",yes,"First & last name, age, account user name, phone number, account creation date, branch, badges earned, book reviews, last login date",7/3/19
Value Line,Value Line,http://www.valueline.com/Privacy.aspx,"proxy server, library card number & PIN",no,Reports are sent to us for this resource - we don't have admin access and there is no patron login.,7/3/19
Gale,US History in Context,https://www.gale.com/privacy,"proxy server, library card number & PIN",no,"Total sessions, average session time, avergae connection time, total searches, retrievals & turn-aways.",7/3/19
Unique Management Services,Unique Management Services,https://www.unique-mgmt.com/privacy-policy/,"First & last name, address, age, DOB, library account number, email address, acount balance",yes,This is a collection agency that uses all PII and skiptrace services to locate payee.,7/3/19
Tumbleweed Press,Tumblebooks,https://asp.tumblebooks.com/privacy.aspx,proxy & email,no,Users can create an optional account geared for teachers and students using name and email.,7/3/19
Gale,Testing & Education Reference Center,https://www.gale.com/privacy,"proxy server, library card number & PIN",no,"Total sessions, average session time, avergae connection time, total searches, retrievals & turn-aways.",7/3/19
SoundSwell,SoundSwell,http://soundswellspeech.com/our-approach/quality-standards/,library card number & PIN for music downloads,no,No reports.,7/3/19
Gale,Science in Context,https://www.gale.com/privacy,"proxy server, library card number & PIN",no,"Total sessions, average session time, avergae connection time, total searches, retrievals & turn-aways.",7/3/19
SpringShare,SpringShare,https://springshare.com/privacy.html,web or mobile application,yes,"Admins have access to a great deal of personal information including names, email addresses, library card numbers and any other information patrons give/we ask for. Personally Identifiable Information in chat transcripts is wiped every few months by the system, so we do not have a log of information for more than three to six months.",7/3/19
Newspapers.com,Santa Cruz Sentinel Archives,https://www.ancestry.com/cs/legal/privacystatement,none- in Library only,"no
",Only accessible while at a library branch.,7/3/19
Reference USA,Reference USA,http://resource.referenceusa.com/privacy-policy/,proxy server & email,no,"There is a feature where a patron can create a personal account. Email address and full name are required, but such an account is completely optional.",7/3/19
RBDigital,Recorded Books,https://www.recordedbooks.com/Support-Pages/Privacy-Policy,library card number & email,yes,"Yes. Patron name, library card number, and email.",7/3/19
ProQuest,Ancestry Library,https://www.proquest.com/about/privacy-statement.html,none - in Library only,no,No reports.,7/3/19
Printer On,Printer On,https://www.printeron.com/company/legal.html,email address,no,Patrons need to provude the vendow with an email address to use this service.,7/3/19
Grolier,Bookflix,https://www.scholastic.com/edtechprivacy.htm,"proxy server, library card number & PIN",no,"Total use, onsite use, off site use, no PII.",7/3/19
Quipu Group,Patron Incident Tracking System (PITS),http://www.quipugroup.com/PITS-patron-incident-tracking-system.php,"Name (if known), branch incident happened, date of incident, action taken, photos (if available",yes,"PITS data is stored in a MySQL database. All �sensitive� data is encrypted with MySQL�s native AES-128 encryption. �Sensitive� data includes any data element that might include personally identifiable information, such as names, phone numbers, email addresses, library card numbers, incident descriptions, perpetrator descriptions, followup actions, and incident comments.",7/3/19
Gale,Opposing Viewpoints,https://www.gale.com/privacy,"proxy server, library card number & PIN",yes,"Total sessions, average session time, avergae connection time, total searches, retrievals & turn-aways.",7/3/19
